"","Cp","MaxDepth","MinSplit","Acc","Sen","Spe","MCC","F1","AUC"
"1",0,1,1,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"2",0,1,2,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"3",0,1,3,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"4",0,1,4,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"5",0,1,5,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"6",0,1,6,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"7",0,1,7,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"8",0,1,8,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"9",0,1,9,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"10",0,1,10,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"11",0,1,11,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"12",0,1,12,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"13",0,1,13,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"14",0,1,14,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"15",0,1,15,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"16",0,1,16,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"17",0,1,17,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"18",0,1,18,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"19",0,1,19,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"20",0,1,20,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"21",0,1,21,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"22",0,1,22,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"23",0,1,23,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"24",0,1,24,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"25",0,1,25,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"26",0,1,26,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
"27",0,1,27,0.733333333333333,0.551724137931034,0.819672131147541,0.37874708263836,0.571428571428571,0.685698134539288
